"","campaign_id","adgroup_id","ad_group","campaign","account","week","keyword","keyword.state","match.type","max_cpc","clicks","impressions","ctr","avg_cpc","avg_cpm","cost","avg_position","quality.score","first.page.cpc","first.position.cpc","converted.clicks","click.conversion.rate","cost.converted.click","cost.all.conv.","total.conv.value","conversions","cost.conv.","conv.rate"
"11","41de422ac06f165b89b9",NA,"Misc Competition","GG: Industry Competition","Industry TicketsNow","2015-03-16","[ticketprocess.com]","enabled","Exact","1.30",0,5,"0.00%",0,"0.00","0.00",3,5,2.58,5.37,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"12","74ca84c14ff0de00daba",NA,"Rolling Stones (com)","GG: Concerts P-R","TicketsNow - Concerts","2015-04-13","""""""""rolling stones tickets.com""""""""","enabled","Phrase","1.50",0,5,"0.00%",0,"0.00","0.00",9.2,4,3.84,6.22,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"13","06da48eadb5a340decb4","38fb160273f9db18f29f","Florence and the Machine (targ)","GG: Concerts D-F","TicketsNow - Concerts","2015-03-30","""""""""florence and the machine concert tickets""""""""","enabled","Phrase","auto: 1.08",0,5,"0.00%",0,"0.00","0.00",8.6,9,0.82,6.12,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"14","1f827e2a1269b75e8860","153cf5eeb464d6a13340","Kansas City Royals (targ)","GG: MLB Asia","Sports TicketsNow","2015-06-01","[royals tickets]","enabled","Exact","1.00",0,5,"0.00%",0,"0.00","0.00",2.2,7,0.15,0.26,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"15",NA,NA,"Van Andel Arena (com)","VENU-GG_Michigan","Venues TicketsNow","2015-03-23","""""""""vanandelarena .com""""""""","enabled","Phrase","1.12",0,2,"0.00%",0,"0.00","0.00",7.5,5,1.72,2.68,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"16","f4546622e2f98ced1e4d",NA,"Paramount Theatre - Huntington (com)","VENU-GG_New York - Spanish","Venues TicketsNow","2015-10-05","""""""""www.paramounttheatre.com""""""""","enabled","Phrase","0.34",0,1,"0.00%",0,"0.00","0.00",6,6,0.49,0.77,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"17","f55d5c0b4754f2038a6b",NA,"U2 (targ)","GG: Concerts S-U","TicketsNow - Concerts","2015-03-16","""""""""tickets for u2 concert""""""""","paused","Phrase","0.73",1,9,"11.11%",0.64,"71.11","0.64",8.1,9,0.92,3.95,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"18","dde29ee5d83815e2bba0","24cf3865298629036a69","Brooklyn Nets (semi)","NBA","TM+","2015-12-21","""""""""net basketball""""""""","enabled","Phrase","0.75",12,157,"7.64%",0.97,"74.08","11.63",1.9,6,2.94,5,1,"8.33%","11.63","11.63","21.04","1.0","11.63","8.33%"
"19","cff20f7820cd3bac5436","4a529f6218c71fa0d9c3","TicketsPlus (general)","GG: Industry Competition Misc Languages USA","Industry TicketsNow","2016-01-18","[ticket plus]","enabled","Exact","0.50",0,2,"0.00%",0,"0.00","0.00",1,6,0.75,0.9,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"20","afc992690180d9556b44","6c8bf1dceeadfe0cb09a","Fall Out Boy (semi)","z - Fall Out Boy","TM+","2015-11-23","""""""""fall out boy concerts""""""""","enabled","Phrase","0.50",3,14,"21.43%",0.42,"90.00","1.26",1.6,8,0.42,0.65,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"21","74a459aff7726005a909",NA,"Miami Dolphins (targ)","NFL TicketExchange Europe","TicketExchange","2015-07-27","""""""""miami dolphins ticket""""""""","enabled","Phrase","1.93",6,52,"11.54%",2.35,"270.77","14.08",1.4,9,0.02,3.56,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"22","f55d5c0b4754f2038a6b",NA,"The Chainsmokers (targ)","GG: Concerts S-U","TicketsNow - Concerts","2015-09-07","""""""""chainsmokers tickets""""""""","enabled","Phrase","2.00",24,148,"16.22%",0.84,"136.22","20.16",1.3,7,0.48,2.14,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"23","0c22ba1facc298298b4d","f2fb02629f8ad9784de9","San Diego Chargers (targ)","NFL","TM+","2015-12-14","""""""""chargers ticketmaster""""""""","enabled","Phrase","0.57",2,9,"22.22%",0.4,"90.00","0.81",1.7,10,0.02,0.32,1,"50.00%","0.81","0.05","831.33","16.0","0.05","800.00%"
"24",NA,"19ea8c55e6d211bdf5d3","Miami Heat(targ)","GG: NBATickets.com Australia","Sports TicketsNow","2015-01-12","""""""""miami heat preseason tickets""""""""","enabled","Phrase","5.00",0,1,"0.00%",0,"0.00","0.00",1,6,1.39,2.89,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"25",NA,NA,"Kansas City Chiefs (general)","NFL Kansas City","TicketExchange","2015-10-26","[arrowhead stadium]","enabled","Exact","2.79",1,1427,"0.07%",8.18,"5.73","8.18",1,5,4.46,7.86,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"26",NA,NA,"Kansas City Chiefs (RLSA)","NFL Kansas City","TicketExchange","2015-10-19","[arrowhead stadium]","enabled","Exact","2.56",1,16,"6.25%",5.76,"360.00","5.76",1,5,3.66,5.29,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"27",NA,"2a600aa2f2e61acc0fc5","New York Yankees (targ)","Yankees Ticket Exchange_(NJ) IN","Sports TicketsNow","2015-08-31","[discount yankees tickets]","enabled","Exact","4.37",2,12,"16.67%",2.52,"420.00","5.04",2.5,7,2.28,4.33,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"28","904563aaa4ce217a30ef","bc7f2ded8e8e7f3663aa","Milwaukee Brewers (targ)","GG: MLB","Sports TicketsNow","2015-08-24","[milwaukee brewer tickets]","enabled","Exact","1.01",0,71,"0.00%",0,"0.00","0.00",7.7,9,1.34,2.66,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"29","f55d5c0b4754f2038a6b",NA,"Tame Impala (citystate)","GG: Concerts S-U","TicketsNow - Concerts","2015-04-27","""""""""tame impala tickets vancouver""""""""","enabled","Phrase","0.60",0,7,"0.00%",0,"0.00","0.00",5,6,0.61,0.81,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"30",NA,"37589f25c2765f9488af","TicketsNow","South Dakota","Industry TicketsNow","2015-05-25","""""""""tickets now ticketmaster""""""""","enabled","Phrase","4.00",3,3,"100.00%",0.08,"83.33","0.25",1,8,0.15,0.15,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"31","d61ea5e014d7afd671d3",NA,"Motley Crue (targ - RLSA)","GG: Concerts M-O","TicketsNow - Concerts","2015-09-28","""""""""motley crue concert tickets""""""""","enabled","Phrase","3.00",1,1,"100.00%",3.47,"3,470.00","3.47",3,8,0.36,4.7,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"32","5a044ea8d2dee48d5e45","1ff230b4a10b64dd90e7","Steely Dan (semi)","z - Steely Dan","TM+","2015-08-10","""""""""steely dan concert""""""""","enabled","Phrase","0.85",2,23,"8.70%",0.66,"56.96","1.31",2.4,8,1.23,2.82,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"33",NA,NA,"One Direction (general)","z - One Direction - Spanish","TM+","2015-01-26","""""""""one direction""""""""","enabled","Phrase","0.20",163,2069,"7.88%",0.22,"17.42","36.05",1.2,4,0.4,0.83,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"34","85bfe92c8e2ec6a41844","7af4831f3d0508b7000a","Green Bay Packers (targ)","NFL Reg Season","TicketExchange","2015-08-10","""""""""packer ticket office""""""""","enabled","Phrase","7.62",4,28,"14.29%",1.95,"278.57","7.80",1.1,9,1.08,3.81,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"35","94b3966e952a42a3928c","9e8ed4a0bd87b152e814","Madison Square Garden (semi)","VENU-GG_New York","Venues TicketsNow","2016-02-08","""""""""madison square garden shows""""""""","enabled","Phrase","1.42",0,4,"0.00%",0,"0.00","0.00",2.8,6,1.42,3.22,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"36",NA,NA,"Train (citystate)","z - Train","TM+","2015-01-26","""""""""train concert tickets tampa""""""""","enabled","Phrase","0.90",0,5,"0.00%",0,"0.00","0.00",3.2,8,0.21,2.53,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"37","379201ae43fdf1aaea02","37589f25c2765f9488af","TicketsNow","New Jersey","Industry TicketsNow","2015-03-16","""""""""tickets no""""""""","enabled","Phrase","0.60",0,7,"0.00%",0,"0.00","0.00",8.1,6,1.26,1.92,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"38","a8aeaef5035b6a85f1df",NA,"Elephant Man (targ)","THTR-GG_New York, NY","Theatre TicketsNow","2014-12-29","[elephant man ticket]","enabled","Exact","1.00",0,1,"0.00%",0,"0.00","0.00",4,6,0.27,0,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"39","a8aeaef5035b6a85f1df",NA,"Fiddler On The Roof (semi)","THTR-GG_New York, NY","Theatre TicketsNow","2015-10-12","[fiddler on the roof broadway show]","enabled","Exact","0.73",0,1,"0.00%",0,"0.00","0.00",8,5,2.33,3.66,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"40","74ca84c14ff0de00daba",NA,"Peter Frampton (targ)","GG: Concerts P-R","TicketsNow - Concerts","2015-09-28","""""""""peter frampton tickets""""""""","enabled","Phrase","1.75",3,50,"6.00%",1.19,"71.40","3.57",2.3,9,0.2,2.29,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"41","26ec3b64939cf294c2a0","510c1b90acdba6c0925d","Ticketmaster (com)","GG: Industry Ticketmaster","Industry TicketsNow","2015-09-14","[www.tiketmaster.com]","enabled","Exact","0.95",0,3,"0.00%",0,"0.00","0.00",3.7,1,0.94,2.89,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"42","2b2afd1dedff3c2dd5f7","1b73531f78d9602ae9cb","NFL (targ)","NFL TicketExchange Australia","TicketExchange","2015-07-27","nfl ticketexchange","enabled","Broad","5.21",0,1,"0.00%",0,"0.00","0.00",1,9,1.67,4.06,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"43","dde29ee5d83815e2bba0","c6a321d566782819737c","Sacramento Kings (targ)","NBA","TM+","2016-02-08","[buy kings ticket]","enabled","Exact","0.68",0,7,"0.00%",0,"0.00","0.00",4.6,8,0.39,1.34,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"44","26de7f97a3cb62637216","1007ad5e2c878c872cc0","First Row (targ)","GG: Generic Industry","Industry TicketsNow","2016-02-15","""""""""front row tickets""""""""","enabled","Phrase","1.65",6,293,"2.05%",1.07,"21.84","6.40",4.5,6,2.44,24.1,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"45","41de422ac06f165b89b9",NA,"Misc Competition","GG: Industry Competition","Industry TicketsNow","2015-02-02","[primesport.com]","enabled","Exact","1.22",0,5,"0.00%",0,"0.00","0.00",2,3,1.93,14.6,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"46","f8f962c7544143908833","d08646640b916c118d53","Country Megaticket (citystate)","GG: Concerts A-C","TicketsNow - Concerts","2016-02-22","""""""""country megaticket bethel""""""""","enabled","Phrase","auto: 0.60",0,3,"0.00%",0,"0.00","0.00",3,6,0.77,2.88,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"47",NA,NA,"J. Cole (citystate)","z - J. Cole","TM+","2015-03-23","""""""""j cole tickets cincinnati""""""""","enabled","Phrase","1.00",0,8,"0.00%",0,"0.00","0.00",3.3,8,1,13.2,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"48",NA,"2a600aa2f2e61acc0fc5","New York Yankees (targ)","Yankees Ticket Exchange_(Philadelphia PA) IN","Sports TicketsNow","2015-05-18","""""""""yankees game tickets 2015""""""""","enabled","Phrase","3.78",0,2,"0.00%",0,"0.00","0.00",2.5,8,4.17,10.1,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"49","697532c41da6ce1cb118","1687956176eb0e42e1dd","New York Mets (targ)","GG: MLB Misc Languages","Sports TicketsNow","2015-02-02","""""""""new york met tickets""""""""","enabled","Phrase","1.15",0,1,"0.00%",0,"0.00","0.00",8,7,0.65,3.87,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"50","4e27eeadb2d3c9087e9d","252a9bf3a27e5a38095b","Pittsburgh Steelers (targ)","NFL Mexico Spanish-English","TicketExchange","2015-11-16","""""""""steelers tickets""""""""","enabled","Phrase","4.64",8,18,"44.44%",1.02,"453.33","8.16",1,9,0.09,1.58,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"51","85bfe92c8e2ec6a41844","77d9fe27bbc7e92a256c","Denver Broncos (CM)","NFL Reg Season","TicketExchange","2015-12-14","""""""""denver broncos football tickets""""""""","enabled","Phrase","12.43",0,1,"0.00%",0,"0.00","0.00",1,8,1.46,2.14,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"52","dde29ee5d83815e2bba0","4820db1892a665be8486","Charlotte Hornets (targ)","NBA","TM+","2015-02-23","""""""""charlotte hornets ticket prices""""""""","enabled","Phrase","1.30",0,2,"0.00%",0,"0.00","0.00",1.5,8,0.33,1.68,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"53","1d60dba4c34c78431615","1c06d13efd1a8ca4cf08","Dierks Bentley (targ)","RLSA - Dierks Bentley","TM+","2015-09-14","""""""""dierks bentley tickets""""""""","enabled","Phrase","2.25",0,1,"0.00%",0,"0.00","0.00",1,9,0.38,2.27,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"54","70ef533bb994feba2af2","9465381ffe3b9e7e054a","Tickets & Ticketmaster","Florida","Industry TicketsNow","2015-09-07","[ticketmaster customer service]","enabled","Exact","0.60",0,1,"0.00%",0,"0.00","0.00",4,3,4.12,4.12,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"55","33c1cd4eaf4aaf66ba43",NA,"Joel Osteen (citystate)","THTR-GG_Theatre G-O","Theatre TicketsNow","2015-01-19","""""""""joel osteen lincoln""""""""","enabled","Phrase","1.23",0,3,"0.00%",0,"0.00","0.00",5,6,2.3,0,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"56","519ee67af12ff16c9878","18bfdd5023c481492f51","AMA Supercross (citystate)","GG: Races","Sports TicketsNow","2015-01-05","""""""""supercross atlanta""""""""","removed","Phrase"," --",1,68,"1.47%",0.46,"6.76","0.46",5.9,0,0,0,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"57","f55d5c0b4754f2038a6b",NA,"The Weeknd (citystate)","GG: Concerts S-U","TicketsNow - Concerts","2015-10-19","""""""""the weeknd in edmonton""""""""","enabled","Phrase","0.50",0,2,"0.00%",0,"0.00","0.00",6.5,6,1.19,2.58,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"58","74ca84c14ff0de00daba",NA,"Rush (citystate)","GG: Concerts P-R","TicketsNow - Concerts","2015-01-26","""""""""rush tickets salt lake city""""""""","enabled","Phrase","1.50",1,25,"4.00%",1.38,"55.20","1.38",6.2,6,1.72,7.57,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"59","f55d5c0b4754f2038a6b",NA,"The Wonder Years (targ)","GG: Concerts S-U","TicketsNow - Concerts","2015-10-26","""""""""the wonder years tour tickets""""""""","enabled","Phrase","0.80",0,3,"0.00%",0,"0.00","0.00",2,6,0.01,1.05,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"60","28a1009af1c30fc82681",NA,"Kasey Musgraves (semi)","GG: Concerts J-L","TicketsNow - Concerts","2015-05-18","""""""""kacey musgraves concert""""""""","enabled","Phrase","1.50",2,14,"14.29%",1.22,"173.57","2.43",1.2,5,1.14,1.31,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"61","4478e64fc5a85aea9ec0",NA,"D'Angelo (targ)","New York City","TicketsNow - Concerts","2015-01-19","""""""""dangelo ticket""""""""","enabled","Phrase","2.00",50,222,"22.52%",0.72,"161.62","35.88",1.1,6,0.55,1.24,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"62","0c22ba1facc298298b4d",NA,"Indianapolis Colts (vs)","NFL","TM+","2015-09-14","""""""""colts vs""""""""","removed","Phrase"," --",0,3,"0.00%",0,"0.00","0.00",9,0,0,0,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"63",NA,NA,"Dallas Cowboys (targ)","NFL Australia","TM+","2015-09-14","""""""""cowboys ticket""""""""","enabled","Phrase","2.70",18,462,"3.90%",1.92,"74.81","34.56",1.3,7,2.65,2.69,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"64","fbbb9c82092fc22be02d","1cd223b739f842969d25","Halestorm","Evansville IN","TM+","2015-02-02","""""""""halestorm tickets""""""""","enabled","Phrase","2.00",1,7,"14.29%",0.73,"104.29","0.73",2.7,9,0.04,0.73,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"65","5adc967aaf0685a83eef","6b1df8ea2fd92fa22c2c","Golden State Warriors (targ)","GG: NBATickets.com Spanish-English South America","Sports TicketsNow","2016-01-25","""""""""warriors tickets""""""""","enabled","Phrase","0.44",2,35,"5.71%",0.36,"20.86","0.73",2.5,10,0.12,0.74,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"66","6009e5c21d0889752562",NA,"Wrestlemania (targ)","GG: Wrestling Europe","Sports TicketsNow","2015-06-29","""""""""wrestle mania tickets""""""""","enabled","Phrase","0.90",1,2,"50.00%",1.28,"640.00","1.28",1,4,1.15,1.15,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"67","28a1009af1c30fc82681","3a5c86b0739b198243eb","Luke Bryan (targ)","GG: Concerts J-L","TicketsNow - Concerts","2015-02-02","[luke bryan ticketmaster]","removed","Exact"," --",1,42,"2.38%",2.37,"56.43","2.37",1.5,0,0,0,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"68","dde29ee5d83815e2bba0","81ee2b90d291d647cb2c","Los Angeles Lakers (semi)","NBA","TM+","2015-12-14","""""""""los angeles lakers basketball game""""""""","enabled","Phrase","1.00",1,1,"100.00%",0.84,"840.00","0.84",2,8,1.92,4.96,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"69","f8f962c7544143908833",NA,"Big Head Todd & the Monsters (targ)","GG: Concerts A-C","TicketsNow - Concerts","2014-12-29","""""""""big head todd tickets""""""""","enabled","Phrase","auto: 1.00",0,9,"0.00%",0,"0.00","0.00",2.6,8,0.17,0.6,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"70",NA,"540b505d3936a2731dee","Neil Young (semi)","z - Neil Young","TM+","2015-04-20","""""""""neil young 2015""""""""","removed","Phrase"," --",5,60,"8.33%",1.52,"126.83","7.61",3,0,0,0,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"71",NA,"9133b697c7fc455675de","Chris Brown (citystate)","z - Chris Brown","TM+","2015-02-02","""""""""chris brown tour in dallas""""""""","enabled","Phrase","1.00",4,23,"17.39%",0.85,"147.83","3.40",1.3,6,0.68,0,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"72",NA,"7db3a4ee62109abf53c6","New York Yankees (semi)","Yankees Ticket Exchange_(Philadelphia PA) IN","Sports TicketsNow","2015-07-13","""""""""2015 new york yankee schedule""""""""","enabled","Phrase","6.69",0,1,"0.00%",0,"0.00","0.00",1,5,0.79,4.6,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"73",NA,NA,"New York Yankees (Semi)","Yankees Ticket Exchange_(NY) IN","Sports TicketsNow","2015-08-10","""""""""yankee baseball game""""""""","enabled","Phrase","2.26",0,2,"0.00%",0,"0.00","0.00",1.5,5,2.25,3.62,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"74","7cfbb54be9e76aee0b53","5b981a43e25d0b0f6415","ACC Mens Basketball Tournament (targ)","GG: College Basketball","Sports TicketsNow","2016-02-29","[acc mens basketball tournament tickets]","enabled","Exact","1.77",0,2,"0.00%",0,"0.00","0.00",5.5,6,0.51,5.25,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"75","f8f962c7544143908833",NA,"Alt-J (citystate)","GG: Concerts A-C","TicketsNow - Concerts","2015-09-21","""""""""alt j seattle""""""""","enabled","Phrase","auto: 2.15",3,91,"3.30%",1.58,"52.09","4.74",3.1,3,1.99,5.81,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"76",NA,NA,"Ticketmaster (citystate)","Ticketmaster App - iPhone (New)","Ticketmaster In-House","2015-09-21","""""""""ticketmaster miami""""""""","enabled","Phrase","2.72",3,18,"16.67%",1.29,"214.44","3.86",1.2,5,0.21,0.35,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"77",NA,NA,"One Direction (citystate)","z - One Direction","TM+","2015-01-26","""""""""one direction philadelphia""""""""","enabled","Phrase","0.85",17,88,"19.32%",1.31,"252.50","22.22",1.8,8,0.75,1.87,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"78","592084931976d61c0900",NA,"Oklahoma City Thunder(semi)","GG: NBATickets.com Resale Marketplace","Sports TicketsNow","2015-01-12","[okc nba]","enabled","Exact","0.01",0,5,"0.00%",0,"0.00","0.00",1.2,6,0.45,2.02,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"79","d315d1c41412804b0c20","827901ad4d69448d2c1b","Minnesota Wild (semi)","NHL","TM+","2015-01-26","""""""""wild hockey game""""""""","enabled","Phrase","0.90",0,6,"0.00%",0,"0.00","0.00",3.3,6,1.51,1.74,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"80","860dbe5c945f807e1c37","24b18f66fff1822fff4d","Ticketmaster (general)","GG: Industry TicketsNow South America","Industry TicketsNow","2015-08-17","[ticket master events]","enabled","Exact","1.00",0,1,"0.00%",0,"0.00","0.00",1,6,0.08,1.11,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"81","ad1e0b6df55ce2bc427e","1687956176eb0e42e1dd","New York Mets (targ)","GG: MLB Spanish","Sports TicketsNow","2015-08-03","[new york mets tickets]","enabled","Exact","1.72",0,10,"0.00%",0,"0.00","0.00",2.9,8,2.3,0,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"82","94b3966e952a42a3928c",NA,"Nassau Coliseum (com)","VENU-GG_New York","Venues TicketsNow","2015-01-05","""""""""nassaucoliseum .com""""""""","enabled","Phrase","1.12",0,3,"0.00%",0,"0.00","0.00",6,6,1.26,3.11,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"83",NA,NA,"LSU Tigers Football (targ)","GG: College Football","Sports TicketsNow","2015-08-31","[lsu ticketmaster]","enabled","Exact","1.60",1,1,"100.00%",1.56,"1,560.00","1.56",1,5,1.38,3.14,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"84","90eda10ddcc9454983e2","9465381ffe3b9e7e054a","Tickets & Ticketmaster","Missouri","Industry TicketsNow","2015-10-05","[ticketmaster ticket exchange]","enabled","Exact","1.19",0,9,"0.00%",0,"0.00","0.00",1.6,5,2.99,2.99,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
"85","b675801ad53aee08bde8","84765cffa6289d2cda83","Columbus Blue Jackets (targ)","GG: NHL Ticket Exchange on TicketsNow Teams","TicketExchange","2015-10-19","""""""""columbus blue jackets ticket""""""""","enabled","Phrase","2.00",7,109,"6.42%",1.18,"75.69","8.25",1.9,7,1.98,3.08,0,"0.00%","0.00","0.00","0.0","0.0","0.00","0.00%"
